,Unnamed: 0,uuid,minr,minc,maxr,maxc
18,18,b9a1750d-568f-4ca0-aa91-ef3426137581,636,3914,1138,4306
62,62,8303edce-b353-4657-a236-2c8dc4f1b2ec,942,2836,1292,3128
81,81,e81f20b7-0d6c-4290-96a5-00e3527fb69b,1054,3950,1287,4188
86,86,b73ebc8f-ce54-425b-9181-4048fa6bbe65,1115,476,2341,1295
88,88,a7c3ff53-8003-4d2e-8e5e-4e7445ba56a9,1149,2690,1401,3067
101,101,19c4e6f8-4164-4634-98b3-e5893d42d9b1,1241,3443,1623,4106
127,127,a2c3f29c-6e6a-4fc9-893d-beac485be8e6,1489,1629,1807,1999
144,144,53df3dcd-e2e5-4187-bb2d-86a5f227bc0d,1662,4268,2034,4599
160,160,2b9572d3-1128-42fc-9928-e9bcd7631b5c,1803,3050,2094,3358
168,168,0551cfa7-fe10-46c6-a915-4dc2aed6f383,1854,3774,2102,4067
195,195,04906f78-6dec-4b10-bfaf-cbe93d3d4dcf,2091,1590,2341,1845
232,232,1362ef4d-b89f-4a63-a62f-bc205775ea42,2274,681,2653,1001
251,251,2bfe22bb-00bd-48b0-ae8f-56c08ba1684a,2396,2212,2691,2536
253,253,791f57b2-b7df-49be-86a0-3cb93602f186,2400,980,3096,1338
265,265,a9e6cea7-abff-4149-8e15-69080b0bf721,2494,2645,3198,3302
282,282,473bc300-7505-48ef-a36f-4bcbeaa8dee3,2648,4355,2927,4594
311,311,84292094-66e8-4e0a-af05-6cee67270ad4,3078,1794,3543,2037
322,322,01cc637a-40cd-42dd-af5d-f3109100c25b,3159,4144,3459,4410
364,364,f7d4537f-137b-4946-bee8-40c8ba32d120,3475,2303,3773,2585
369,369,8f4a44f0-f8d5-4352-b060-d3b051e69e39,3499,3886,3818,4231
385,385,62d62a83-5794-42ea-888e-5ea34b2007ea,3655,3311,3917,3667
389,389,c3c57bf4-fda0-4123-b8d1-8efe483573b7,3683,4005,4166,4446
415,415,49a6674e-03ed-4db8-b06f-29896203f45f,3793,2384,4052,2719
426,426,497e3d61-564a-4363-8ed0-34eba533423c,3872,3120,4208,3399
436,436,99ec620f-d0be-40cf-b0d3-e65ef1a43375,3924,2289,4421,2955
439,439,71788577-73b7-4298-9f39-e3a77abdfd17,3962,3397,4292,3625
452,452,78e4948c-146d-49cb-9781-12d4e218ff6b,4059,2839,4303,3191
457,457,c99ac74f-a39c-4e0e-ba93-325bd123b855,4110,1441,5208,2405
477,477,a6118281-8a8a-4b06-b04b-340a94e427f4,4277,4050,4622,4434
517,517,0bab7859-06a1-44c1-8e6c-f9dcf76c9393,4548,4007,4876,4668
533,533,13907abb-29d6-4d83-bdf9-03063ec23d1b,4779,1243,5168,1724
595,595,343eada3-6f83-4d0d-8ad0-819a7a259183,5166,2921,5851,3608
606,606,1ea6e690-2996-40f2-a754-703a7bb805fb,5245,3999,5493,4374
621,621,2120d65a-8612-4567-b5ee-f6960619495c,5662,2321,6019,2860
646,646,8e5ecfcc-757e-407c-9485-62fd5ee200c3,5973,3246,6201,3528
667,667,b66b7a52-7e5e-4ca5-bec3-9d433d49adfd,6201,2847,6510,3110
690,690,f9da5e50-6bf5-4f5f-956a-3f42be784c10,6376,3361,6658,3793
737,737,e6704d7f-f404-463c-aa22-f9b75554a014,6785,3032,7455,3726
