,uuid,minr,minc,maxr,maxc
4,938ff7cf-0b90-4304-b60e-540aed35bc81,334,5859,715,6217
11,787d7809-623d-45c8-a263-217163d39b4c,373,6232,758,6641
19,73c55de3-1205-43ee-bcae-d3d3e38ddad7,411,4700,982,5376
32,0fdae412-6112-4853-aab6-df5a6d9ebe32,501,3369,772,3769
42,d2a40097-4615-42f4-a644-6726d57dd645,556,4061,1221,4529
45,a9694274-5329-4816-8655-090f86168245,561,3094,841,3406
47,185f1d11-38b2-495c-aedb-31b8c3dd5e71,566,5384,914,5755
52,52e76e2a-8ad5-46b8-b658-a7134dec7bab,612,2578,859,2813
57,ec3a1227-006c-4541-8659-6bcfaad48a49,627,1557,1033,2099
60,670f172c-c262-4092-a07a-32cd7d5a5c8b,633,2106,1086,2520
63,553679c3-634a-4a7a-9284-ff0883f425da,654,6630,1244,7031
69,a90e2d3f-0330-4511-b256-29490484739f,679,6965,1056,7383
74,8e19832d-e1c4-43c6-88d9-80a971808086,685,3725,1280,4124
85,8dc543e8-029b-42c3-98f0-1a0dcba1580c,722,2826,1096,3271
87,2ed62c60-435b-4abf-b29a-550a6603a49c,726,1240,1116,1599
88,b72aef60-504e-4ee7-ae89-60aece7f28b6,727,3235,1155,3516
93,11b5fe91-018c-4bdc-9275-8bc39d43b86c,750,7415,1011,7683
97,015652d3-7d61-464a-bdd7-3d5616a316f1,763,6412,1220,6683
99,38872d2d-a279-40b4-a02b-f1aa4eef05b2,769,728,1228,1315
100,9f0ae679-bd44-4c59-b114-0a52a3c2227e,775,3319,1423,3765
109,d35e9bfc-3a2b-4dc4-90bd-425f5c21fe91,815,7226,1208,7591
113,770675da-edca-4e4c-8069-c652f0a2dd6c,826,6015,1156,6348
116,c54f481c-4a12-44cb-a8b1-e64768821c6b,851,4394,1491,4827
118,0da4980b-b047-410e-9c1d-86538fb24511,866,2475,1192,2764
138,24f6583b-5287-4f93-b104-55ecfe3ca3e2,952,1488,1615,2053
154,7ebc110e-7011-4a2e-9bcd-7d3b84d15b47,1039,6902,1566,7547
161,179b401c-4967-4bb3-b8a1-96c53398e56f,1079,2806,1372,3330
169,f7b9282b-393e-4dec-9fe1-7719c545c368,1142,4818,1426,5098
186,662a8a71-bb1d-42ad-ae95-fe4c90b5d7f5,1205,5205,1862,5892
194,9aa7e590-108a-4e8e-af95-e95532594445,1231,5832,1582,6129
202,797b9da6-199c-4601-919d-7a5f1c19389c,1254,2490,1619,2884
204,73954c6b-5b48-4439-a346-881419f6a9f8,1257,2734,1935,3563
209,26b5c31e-45ad-4be2-84f5-adc91810cae8,1285,4586,1889,5086
222,9e848561-60c1-42b2-a0d0-8b133af23e79,1371,3841,1884,4236
228,1bce98df-734f-4290-8d28-74f33e8d7b9b,1408,907,1640,1198
229,91df68e2-d435-4c4a-9d22-fb33ee0cd345,1408,5978,1757,6316
230,d2dee9f3-d499-42cb-a90e-7e971be8e2b5,1419,2053,1910,2492
231,ea420781-6873-48c3-a11e-240f76da1653,1419,6379,1835,6679
257,82740579-c835-476b-bf02-4de316760c8a,1557,1787,1960,2178
261,cd936d6d-9924-43c8-851c-d9f8c85dd594,1565,6630,2070,6981
268,c3fa2bfc-4957-4ffe-980d-06843bb65647,1600,1099,1955,1402
276,3c0ff9f6-5d6a-458f-aa0a-6680166c14b0,1640,3472,2398,4184
278,5016c646-8a92-493b-bf0e-b6398f139cf7,1654,4118,1973,4363
281,28e6babb-ed01-47cd-bb9e-b6cdeeeeebf3,1677,6188,1935,6455
283,723e4b60-5c0c-470f-822d-8425f06fcad3,1688,1668,1968,1936
288,69a8b099-c798-47a1-86cf-2525dd1d066e,1704,6892,1993,7137
290,5a4e7a0e-800c-4e2f-86ee-7760c91f2270,1724,5440,2205,5827
296,5ef071fb-0c25-4125-8837-a7a85926d453,1742,2665,2105,3031
297,d21c2e87-3c14-4924-a3a0-1db9d4437dfe,1770,4977,2501,5494
300,84d75e90-5d1c-440e-b536-e04b018945ee,1786,5799,2077,6065
311,cfebd540-5cd0-411e-9f90-9290ea1f4176,1832,7106,2082,7391
317,889afd46-511a-466c-b483-3c0829b1e90c,1847,2970,2330,3461
322,64f7e529-e80c-48ce-8e88-b5e7038bf3f2,1884,5277,2231,5538
335,756ef011-08c9-4e39-a029-842052454e56,1954,1021,2288,1249
336,3a23bbe9-dafc-4b1f-8869-b3e025b87d3f,1957,1914,2363,2257
344,f6b8797c-3527-4aaf-a85f-b5d5a09a5895,1980,1201,2492,1734
350,64d771c2-645c-493a-8a2d-cdd79a583d78,2022,2597,2665,3108
352,f15ac26d-1c9e-468c-a135-5ffc05be306a,2033,4092,2374,4517
355,6d4f9011-8f94-4434-9097-6f200113f223,2047,2272,2393,2544
375,dc907a5a-166d-4260-97b5-d36a6aed4cde,2161,4506,2412,4760
424,f4165128-20de-4724-aa2a-bb82a4da5709,2304,3239,2688,3658
425,a4f16137-3802-4bd5-b027-00fe3bc9cd5e,2305,949,2675,1304
429,ac84d30e-314e-478f-ba4e-ab368f804786,2312,710,2621,972
430,0fe192cc-2f51-48c6-b711-353664f918a1,2316,481,3214,883
431,f8819a71-ae26-466b-82c4-d4393a660101,2318,3978,2724,4395
433,d8f91849-ad8a-45a4-9626-b86b6a8f3f85,2326,1236,3022,2269
445,85441ab5-77fc-45e6-ac2b-d1e5a62b6567,2351,4652,2788,4989
448,a35cd056-d55b-4735-9e0b-7b66847508da,2365,2988,2834,3263
461,50a18e62-84f5-44bf-98d9-5ded43bbe34e,2403,3595,3035,4098
469,3956ee41-808e-4b31-a97b-a99f7a419cd8,2425,2303,2933,2745
472,1a63f0af-8152-4a62-89ba-e90271a8eed6,2433,4426,2767,4734
473,9b99d5e6-af81-42fa-93e4-1885b3ab1efc,2434,5386,2780,5631
478,f4f24649-be04-4fd1-b3f0-5a1fe374ab49,2459,6596,2848,6862
484,9c92cdd9-642f-4bb2-84eb-bb6a363f77cf,2479,6185,2812,6622
488,435f4615-c391-4d41-909e-41e0d351b03f,2489,6638,3039,7093
498,9d4bb459-ca0c-427c-9d3e-6217931a7032,2556,4859,2999,5207
517,ef8313d6-dad2-4cd4-ad73-f4d2d3727e09,2650,4035,3115,4584
522,6050a969-bf26-410d-9263-6b7f1472b483,2665,2199,2955,2589
530,107fa8b2-0983-4925-8f73-3abf9bc2c68d,2702,3050,3168,3667
531,ec454d6d-7593-4714-9cf3-4984dddff552,2709,7056,3369,7490
535,4d232c62-225b-4c0a-b479-32766b195780,2737,897,3446,1323
540,b074aeff-5be4-4953-ba14-2f6a4720445f,2770,5465,3259,5943
549,efe209f2-59ea-402f-935f-82e5a6217075,2826,6314,3185,6657
555,273e8903-9529-4497-8272-00b0ffa0f68c,2861,4726,3112,5052
559,e21e3c78-5a55-4692-825d-ed8ecd6d5a50,2887,2239,3536,2756
574,c0dc418b-4cad-42a5-a444-9d887ef8ca84,2930,6837,3230,7183
588,53a1294d-764e-45ed-a287-4779c70cfeb7,2972,2118,3383,2431
589,973f663b-766a-403c-96f6-15fd4efc4e23,2989,1594,3405,1983
603,23f5ad6b-4c6e-444a-ba40-89c5c687c336,3041,6030,3329,6366
609,283ad796-77fc-49f4-90ef-21600428e971,3059,2740,3343,2996
617,40422600-4716-4f90-b6b5-ed26eb8ae555,3101,3162,3482,3515
618,aed1432a-2e4f-4d14-8bfb-2d2cdc74d08e,3113,4725,3662,5340
619,404b6de4-19d0-4423-bd2e-e9d0ea98de74,3114,4043,3693,4472
626,dbab800b-3fd7-4545-9f56-d27e9bbd90f6,3154,6439,3544,6678
630,36738653-f458-44f9-a30e-192301235496,3173,5352,3676,5914
635,2a188186-aa29-4e80-a24d-d86788271980,3184,3505,3459,3806
639,9765a049-1931-4efc-8977-ca46a952a246,3213,4388,3587,4795
644,2549a4aa-17bd-42a0-9884-7a13fc2d1d0b,3227,1309,3512,1582
645,e2daf543-188e-4dad-ae2a-9dacef225399,3231,6846,3736,7403
651,c4586440-0926-4edb-afc3-f31264237217,3284,1873,3598,2190
656,9a198378-a576-4b42-9536-e5d154bde0a1,3332,1020,3861,1380
662,71e5a4c0-7551-4bfe-b3b4-e801c4cd9a46,3371,5797,3801,6116
663,9b6aaba8-544d-4f93-b16f-1b12dbd3fe30,3373,1292,3968,1757
668,f40cbdc7-3f4d-4012-b894-492af44c21e6,3395,628,3648,962
680,c79f7f51-97a0-4c59-90a8-2ef7ebe57f7d,3451,4703,3699,4932
681,248cf6d8-905b-4fc2-8913-66f28d2ced00,3459,3363,3730,3626
686,1e240228-1c8f-438f-b257-e21fbe08188c,3475,6428,3764,6714
688,283e24cd-93af-4997-b98d-c59dbfd03c2e,3506,2226,3940,2579
697,a809dab0-21cf-41df-b353-458e78d093c3,3546,6620,3855,6979
699,187e084a-6886-45d8-85d9-264bf79cf9b0,3566,2916,3842,3198
700,aa757ef2-7ba5-4f3e-9bb5-f199ae4601cc,3566,4981,3880,5460
711,3e4f9f70-9399-4c30-a5ec-473d83256268,3640,1724,4088,1999
715,e74642d6-8398-4a96-b809-37f4ba43567c,3653,7311,3896,7542
716,b261c665-0b03-404c-a517-c419c8037795,3656,455,4088,965
725,321aa388-1252-4e9c-854b-25545e1221a1,3672,6080,4474,6513
729,219d02ab-f765-4918-9adc-63de01d3e167,3678,7004,3917,7270
735,5f6c9eec-00d5-4c37-9773-ed07bb4397ca,3702,3670,4063,3911
741,3c21015f-43b6-468d-b08b-9f9ca97c93cc,3723,2947,4377,3696
744,c5de64ff-cf1a-4cdd-b63c-45c5ac7a42f3,3739,5218,4189,5587
756,4e295d50-beb7-44f0-9a34-6bc4ab3d7a02,3801,2321,4249,2919
758,4550dc78-265c-4e2f-97b8-9c2362f8103e,3810,6472,4386,6927
