,Unnamed: 0,uuid,minr,minc,maxr,maxc,maxr_fixed,minr_fixed,maxc_fixed,minc_fixed,center_r,center_c,row_rad,col_rad,rad
8,47,f612c249-9f9f-474c-9c21-31df38d30452,648,5645,946,6091,947,649,6251,5805,798.0,6028.0,149.0,223.0,149.0
13,78,c734d4fd-8810-45ce-8a10-c236c0a891e1,810,5929,1445,6803,1446,811,6963,6089,1128.5,6526.0,317.5,437.0,317.5
16,101,cf21a80f-1dd9-4e81-a01e-4a09e891a79a,915,2395,1322,2711,1323,916,2871,2555,1119.5,2713.0,203.5,158.0,158.0
17,106,6fbda893-1126-4e1a-afd2-adca7ce6a133,939,3084,1541,3653,1542,940,3813,3244,1241.0,3528.5,301.0,284.5,284.5
19,141,0e63b6f3-37ec-4756-8275-4fc5fe79bb3d,1108,2866,1684,3246,1685,1109,3406,3026,1397.0,3216.0,288.0,190.0,190.0
21,166,c80665d5-6863-4010-a4b4-cfb289cbcf95,1214,6355,1741,7046,1742,1215,7206,6515,1478.5,6860.5,263.5,345.5,263.5
22,172,ac9b8e0c-c750-4a14-9206-130ccf9519aa,1262,2321,1607,2743,1608,1263,2903,2481,1435.5,2692.0,172.5,211.0,172.5
26,219,8060538e-57ac-4bd2-899a-08822cfcbef3,1474,4103,2033,4610,2034,1475,4770,4263,1754.5,4516.5,279.5,253.5,253.5
28,229,5226524c-36aa-4c77-9724-2dbf22171be2,1501,4911,2121,5428,2122,1502,5588,5071,1812.0,5329.5,310.0,258.5,258.5
29,230,a2827b71-c570-422c-b246-d6ed6d25a279,1513,2253,2030,2852,2031,1514,3012,2413,1772.5,2712.5,258.5,299.5,258.5
33,252,74f370d4-8a45-49ff-88fa-14eefcf52bb1,1617,5914,2029,6300,2030,1618,6460,6074,1824.0,6267.0,206.0,193.0,193.0
34,269,074b15af-cb54-4355-8e5e-590d60ba12a9,1681,5567,1926,5851,1927,1682,6011,5727,1804.5,5869.0,122.5,142.0,122.5
35,278,b431acd2-f393-42ba-85ce-097265d374ac,1783,632,2133,932,2134,1784,1092,792,1959.0,942.0,175.0,150.0,150.0
43,323,b43f87e3-3dd2-481c-aa55-5ad4b8def08d,1985,2437,2451,2985,2452,1986,3145,2597,2219.0,2871.0,233.0,274.0,233.0
45,351,c6fd2690-771f-4351-8f87-ee385b16b13b,2093,1452,2538,1743,2539,2094,1903,1612,2316.5,1757.5,222.5,145.5,145.5
49,398,8a1b59d7-1967-4158-a162-62033d552989,2284,2065,2753,2358,2754,2285,2518,2225,2519.5,2371.5,234.5,146.5,146.5
50,401,9104f625-8aef-4345-ba55-bfce7344c858,2306,686,2664,1102,2665,2307,1262,846,2486.0,1054.0,179.0,208.0,179.0
53,417,4c283e1c-4741-4cb1-b0f6-37754b9b6c5f,2369,2787,2845,3349,2846,2370,3509,2947,2608.0,3228.0,238.0,281.0,238.0
55,441,13c7fc41-5a48-40e6-87db-3289910870f9,2471,451,2863,861,2864,2472,1021,611,2668.0,816.0,196.0,205.0,196.0
57,451,52c62cd6-58f8-48b5-83fd-d0d83e0326c6,2519,3980,2942,4432,2943,2520,4592,4140,2731.5,4366.0,211.5,226.0,211.5
58,452,23edf482-02f2-44c9-9f8f-b558c81b5614,2525,6318,3062,6857,3063,2526,7017,6478,2794.5,6747.5,268.5,269.5,268.5
60,473,79c85634-4d77-4cbe-8ad7-88084b61fa5a,2590,1544,3341,2090,3342,2591,2250,1704,2966.5,1977.0,375.5,273.0,273.0
61,486,6a5edd53-0eb2-4a28-9420-333cb1229e69,2647,2231,3193,2753,3194,2648,2913,2391,2921.0,2652.0,273.0,261.0,261.0
64,495,84d719b5-2edb-45e1-9212-762c3d05007c,2686,806,3163,1230,3164,2687,1390,966,2925.5,1178.0,238.5,212.0,212.0
65,497,9ce55b08-16ec-4283-b95b-6cda8ac553df,2689,6120,3072,6387,3073,2690,6547,6280,2881.5,6413.5,191.5,133.5,133.5
66,509,32919afe-a722-4ae1-82a5-32a674f946e4,2718,4454,3202,4855,3203,2719,5015,4614,2961.0,4814.5,242.0,200.5,200.5
68,514,22fe73ea-6fbe-4ef8-a00c-17469d05bbae,2755,411,3414,925,3415,2756,1085,571,3085.5,828.0,329.5,257.0,257.0
69,516,5038552d-864e-4bc0-8348-d9abb0498704,2760,2695,3042,2993,3043,2761,3153,2855,2902.0,3004.0,141.0,149.0,141.0
70,531,fa6b8efe-0ebf-4422-a49d-1a3ea3da3d6d,2854,3539,3421,4043,3422,2855,4203,3699,3138.5,3951.0,283.5,252.0,252.0
71,532,5273c19a-9ae2-4f83-a5d9-f5a12ae3727f,2858,6205,3208,6665,3209,2859,6825,6365,3034.0,6595.0,175.0,230.0,175.0
72,537,043b9617-185a-401c-a3c9-55c27a8e721b,2871,4130,3212,4458,3213,2872,4618,4290,3042.5,4454.0,170.5,164.0,164.0
73,544,718cb770-3dc0-46b5-90c8-79f7a08a9771,2919,4773,3156,4999,3157,2920,5159,4933,3038.5,5046.0,118.5,113.0,113.0
76,568,aee0800e-3ead-4f66-b43a-d7396b5c3f7a,3029,5491,3507,5888,3508,3030,6048,5651,3269.0,5849.5,239.0,198.5,198.5
78,584,73feb5f7-c757-483e-b171-cf1a8fd81630,3055,6610,3510,7039,3511,3056,7199,6770,3283.5,6984.5,227.5,214.5,214.5
81,589,635a29b7-55df-4924-bf10-2f3495beb2b6,3072,1787,3697,2241,3698,3073,2401,1947,3385.5,2174.0,312.5,227.0,227.0
82,614,40d0dd6f-a2b5-43e9-85c4-b593b1ff5dd3,3171,4147,4054,4970,4055,3172,5130,4307,3613.5,4718.5,441.5,411.5,411.5
85,662,09126e93-6b96-40a9-a484-204392e4e02a,3352,5892,3919,6305,3920,3353,6465,6052,3636.5,6258.5,283.5,206.5,206.5
87,675,da983316-b31c-4038-9b17-c9519cda39bf,3376,6308,3940,6940,3941,3377,7100,6468,3659.0,6784.0,282.0,316.0,282.0
90,684,ee7c1231-1f3b-4e27-a772-6171008c5513,3422,784,3769,1225,3770,3423,1385,944,3596.5,1164.5,173.5,220.5,173.5
91,685,0b68a36c-897f-4718-9a5d-d064d8681ba1,3439,2663,3713,2961,3714,3440,3121,2823,3577.0,2972.0,137.0,149.0,137.0
93,701,4305f77a-5010-41bb-a3cd-1deae9e04b3e,3502,1410,3789,1718,3790,3503,1878,1570,3646.5,1724.0,143.5,154.0,143.5
94,711,f9542766-180e-47be-be33-9f296f11b6d9,3603,1656,3992,2086,3993,3604,2246,1816,3798.5,2031.0,194.5,215.0,194.5
95,723,5c4eb70c-342f-44b5-b96f-b8e83e4b40b7,3657,5398,3979,5644,3980,3658,5804,5558,3819.0,5681.0,161.0,123.0,123.0
96,734,5f135262-996d-4f41-b2e6-03e0c670936f,3701,815,4013,1251,4014,3702,1411,975,3858.0,1193.0,156.0,218.0,156.0
97,743,d5e359e8-6c8f-4556-88b6-d904195968ca,3786,6105,4120,6428,4121,3787,6588,6265,3954.0,6426.5,167.0,161.5,161.5
98,747,4ad1af96-4489-4c04-a210-1f7f89f2125b,3806,5489,4443,6055,4444,3807,6215,5649,4125.5,5932.0,318.5,283.0,283.0
99,772,ec83673b-81ea-465e-b7f9-a71421c94508,3910,3036,4293,3430,4294,3911,3590,3196,4102.5,3393.0,191.5,197.0,191.5
100,791,cec90e51-3ff5-4a22-ad52-edba9f602adb,3974,4765,4376,5092,4377,3975,5252,4925,4176.0,5088.5,201.0,163.5,163.5
101,799,828c8a28-17e0-43e1-b807-8928403da898,4005,5039,4425,5499,4426,4006,5659,5199,4216.0,5429.0,210.0,230.0,210.0
106,817,64deebd5-a009-482b-a2f4-b5d53ae6a74a,4088,1697,4407,2088,4408,4089,2248,1857,4248.5,2052.5,159.5,195.5,159.5
108,820,15901045-e0aa-410f-937d-65a2c69a08af,4095,4482,4421,4779,4422,4096,4939,4642,4259.0,4790.5,163.0,148.5,148.5
110,830,1a8db668-65f5-4590-8c3b-de5e70037f6a,4122,3572,4411,3863,4412,4123,4023,3732,4267.5,3877.5,144.5,145.5,144.5
113,849,16a68580-84e3-479a-97e2-8ff1da16a5bd,4267,6039,4544,6278,4545,4268,6438,6199,4406.5,6318.5,138.5,119.5,119.5
114,860,64a6c96f-2936-43f9-854d-06078922665a,4322,1345,4928,1810,4929,4323,1970,1505,4626.0,1737.5,303.0,232.5,232.5
115,861,1939fc1d-90a3-411c-a717-228dcc71de82,4322,4548,4794,5208,4795,4323,5368,4708,4559.0,5038.0,236.0,330.0,236.0
118,874,7a5d1504-2be9-42bf-ba67-7ecc93c1b475,4376,3922,4606,4185,4607,4377,4345,4082,4492.0,4213.5,115.0,131.5,115.0
120,912,e56c8b8f-33e2-4921-9c47-f39fb91eeb04,4527,6395,4825,6675,4826,4528,6835,6555,4677.0,6695.0,149.0,140.0,140.0
121,914,9aab7e39-e486-4424-a14b-f1aaecdd7d7e,4533,3180,4950,3671,4951,4534,3831,3340,4742.5,3585.5,208.5,245.5,208.5
124,940,d0b9cba2-579b-48f3-b686-abd52b10431e,4625,4142,5390,4832,5391,4626,4992,4302,5008.5,4647.0,382.5,345.0,345.0
126,958,c062c190-f4c1-4685-aa96-30d226ca3e4e,4710,6964,5186,7301,5187,4711,7461,7124,4949.0,7292.5,238.0,168.5,168.5
129,970,8f2ed78a-6d4a-4eb6-a349-607076c45c47,4766,1870,5074,2123,5075,4767,2283,2030,4921.0,2156.5,154.0,126.5,126.5
131,981,ef8236a9-5084-48cb-95dd-566993237403,4824,6075,5168,6559,5169,4825,6719,6235,4997.0,6477.0,172.0,242.0,172.0
132,987,70ad6851-ae8f-457e-9cc5-d2258caf0dbd,4836,2844,5149,3249,5150,4837,3409,3004,4993.5,3206.5,156.5,202.5,156.5
136,1012,a63a4e89-bebd-40ff-b4e6-b6019906b86a,4954,6499,5410,7158,5411,4955,7318,6659,5183.0,6988.5,228.0,329.5,228.0
138,1021,c0d72aef-91ee-4073-b65f-880edd628850,4988,2610,5767,3122,5768,4989,3282,2770,5378.5,3026.0,389.5,256.0,256.0
139,1022,279b0232-43d6-40a6-bf09-9977d9226d56,4992,862,5334,1313,5335,4993,1473,1022,5164.0,1247.5,171.0,225.5,171.0
140,1034,6065a28d-628e-4baa-a656-934aef4a147b,5064,1811,5521,2276,5522,5065,2436,1971,5293.5,2203.5,228.5,232.5,228.5
142,1046,f8f28b3e-f736-41e1-985d-5e771a19b1e2,5105,3845,5452,4329,5453,5106,4489,4005,5279.5,4247.0,173.5,242.0,173.5
144,1079,677575c6-bf1e-41a2-b37d-93bf62dfcf63,5243,1418,5543,1811,5544,5244,1971,1578,5394.0,1774.5,150.0,196.5,150.0
145,1084,d71b7978-4381-4c04-a3fa-8680b97ff8c3,5260,2139,5616,2574,5617,5261,2734,2299,5439.0,2516.5,178.0,217.5,178.0
148,1097,34d5faba-2465-4df1-a2dc-91e4a57b8bd0,5324,3388,5821,3666,5822,5325,3826,3548,5573.5,3687.0,248.5,139.0,139.0
149,1105,d1dd5e71-fd54-4990-85d5-cc0142529585,5347,1076,5696,1372,5697,5348,1532,1236,5522.5,1384.0,174.5,148.0,148.0
150,1113,d527190f-e590-464d-bcfa-c6bcb546b011,5391,3160,5776,3450,5777,5392,3610,3320,5584.5,3465.0,192.5,145.0,145.0
152,1122,effe9fde-96ac-4288-b4ae-f47b2b7a10cd,5461,1486,5882,1793,5883,5462,1953,1646,5672.5,1799.5,210.5,153.5,153.5
153,1135,6521a31c-72ec-406a-9f04-3fcc27d65d21,5497,3900,5871,4447,5872,5498,4607,4060,5685.0,4333.5,187.0,273.5,187.0
154,1145,5824c919-b2e2-4225-9fc7-fe2d29a76981,5536,6501,5957,6770,5958,5537,6930,6661,5747.5,6795.5,210.5,134.5,134.5
157,1176,ba9fd875-5318-40d4-ad00-1886875029bb,5631,3618,5953,3913,5954,5632,4073,3778,5793.0,3925.5,161.0,147.5,147.5
161,1195,974f4dc7-5b1c-486a-95a7-a3494e6ab096,5728,4276,6095,4628,6096,5729,4788,4436,5912.5,4612.0,183.5,176.0,176.0
164,1234,df80ae01-2cb5-43c6-b7c5-f53c57300d3f,5869,4033,6112,4259,6113,5870,4419,4193,5991.5,4306.0,121.5,113.0,113.0
166,1263,b1797539-d1b1-4ad8-af55-e48863fdc1b9,5953,5219,6433,5793,6434,5954,5953,5379,6194.0,5666.0,240.0,287.0,240.0
168,1290,02367f9b-342b-4a0a-b3a0-de77495f6a0d,6048,4917,6373,5235,6374,6049,5395,5077,6211.5,5236.0,162.5,159.0,159.0
172,1329,6b6037b1-5f81-4122-af33-ef6d47c423d5,6133,1398,6403,1667,6404,6134,1827,1558,6269.0,1692.5,135.0,134.5,134.5
173,1335,f5eb8eeb-58cb-4acc-9301-aa6af70254e1,6149,6457,6517,6899,6518,6150,7059,6617,6334.0,6838.0,184.0,221.0,184.0
177,1357,0918b519-2e7b-45e7-9977-0e0239585396,6232,7031,6557,7312,6558,6233,7472,7191,6395.5,7331.5,162.5,140.5,140.5
182,1405,021c9bc1-d6df-47a1-8c8f-768281888e22,6430,5220,6756,5676,6757,6431,5836,5380,6594.0,5608.0,163.0,228.0,163.0
183,1419,fdeede8d-4405-4a27-b2f2-441eafed628d,6467,6343,6809,6676,6810,6468,6836,6503,6639.0,6669.5,171.0,166.5,166.5
187,1458,77f51c6e-8f3b-43d4-9624-dcd9d41a06be,6605,3132,6887,3464,6888,6606,3624,3292,6747.0,3458.0,141.0,166.0,141.0
188,1474,9eed08fa-e78a-4b11-a021-0db87e27570c,6666,4318,7075,4831,7076,6667,4991,4478,6871.5,4734.5,204.5,256.5,204.5
191,1484,67a88b02-ae23-4b06-9490-b98ae2f97a3e,6692,5471,7149,5744,7150,6693,5904,5631,6921.5,5767.5,228.5,136.5,136.5
195,1533,d7b14697-e6b9-4020-b6ee-a88e3ee38334,6832,2001,7442,2559,7443,6833,2719,2161,7138.0,2440.0,305.0,279.0,279.0
196,1552,5c5f12e2-f015-4998-9996-deec269f07a1,6897,1224,7168,1501,7169,6898,1661,1384,7033.5,1522.5,135.5,138.5,135.5
203,1616,7a81351c-3178-4f24-a5f2-64c0c013be6b,7129,4061,7435,4330,7436,7130,4490,4221,7283.0,4355.5,153.0,134.5,134.5
206,1626,a4b965fc-136d-43c6-87f7-9c738ebb2cf3,7158,5816,7573,6166,7574,7159,6326,5976,7366.5,6151.0,207.5,175.0,175.0
