,minr,minc,maxr,maxc
0,329,3678,348,3696
1,359,3545,366,3549
2,366,3550,368,3552
3,497,3702,500,3708
4,514,3655,555,3698
5,527,3830,529,3834
6,531,3824,538,3828
7,542,3699,578,3795
8,543,3660,721,3892
9,574,3459,591,3476
10,575,3491,581,3494
11,582,4249,910,4634
12,583,3500,619,3520
13,593,3888,597,3894
14,609,3668,610,3678
15,636,3914,1138,4306
16,640,3403,650,3426
17,641,3055,650,3077
18,645,3026,649,3040
19,649,3559,652,3565
20,653,2910,687,2995
21,656,3329,782,3471
22,662,2564,817,2878
23,675,2529,1183,3133
24,675,3478,678,3484
25,678,3324,707,3382
26,678,3975,731,4026
27,679,3536,698,3557
28,682,3573,683,3574
29,685,3575,703,3584
30,695,3049,703,3061
31,695,3302,696,3303
32,695,3844,739,3883
33,701,2531,705,2536
34,705,2468,706,2469
35,707,2307,874,2483
36,712,3724,727,3730
37,715,3816,729,3826
38,727,2187,793,2252
39,742,3811,745,3814
40,751,3954,753,3955
41,767,3982,770,3986
42,772,2070,841,2131
43,774,3788,792,3801
44,786,2166,789,2169
45,786,3866,837,3918
46,788,3193,827,3227
47,792,4304,1227,4692
48,796,3849,798,3850
49,800,3790,825,3811
50,809,2290,811,2294
51,811,2235,962,2513
52,812,2175,826,2185
53,815,3717,852,3755
54,838,2047,950,2133
55,851,3182,857,3193
56,860,1811,872,1829
57,865,3940,893,3960
58,875,1227,902,1255
59,898,3400,906,3414
60,905,3243,913,3244
61,905,3134,1268,3393
62,930,2263,941,2271
63,936,3081,942,3093
64,942,2836,1292,3128
65,955,2044,997,2096
66,962,2331,969,2335
67,969,2258,971,2263
68,971,3791,973,3796
69,973,3617,1132,3799
70,974,2026,977,2027
71,976,2173,1057,2265
72,982,1146,988,1164
73,982,1183,988,1192
74,996,3134,1026,3156
75,997,1080,1071,1133
76,1001,2103,1245,2443
77,1005,3383,1053,3412
78,1008,2014,1009,2015
79,1048,3597,1054,3609
80,1050,1001,1231,1282
81,1050,3815,1122,3953
82,1054,3436,1068,3450
83,1054,3950,1287,4188
84,1059,2548,1090,2588
