,Unnamed: 0,uuid,minr,minc,maxr,maxc,maxr_fixed,minr_fixed,maxc_fixed,minc_fixed,center_r,center_c,row_rad,col_rad,rad
1,18,b9a1750d-568f-4ca0-aa91-ef3426137581,636,3914,1138,4306,1203,701,4306,3914,952.0,4110.0,251.0,196.0,196.0
2,23,ed2bd522-19ba-4989-a546-4e33aa2b1b2c,675,2529,1183,3133,1248,740,3133,2529,994.0,2831.0,254.0,302.0,254.0
5,62,8303edce-b353-4657-a236-2c8dc4f1b2ec,942,2836,1292,3128,1357,1007,3128,2836,1182.0,2982.0,175.0,146.0,146.0
7,81,e81f20b7-0d6c-4290-96a5-00e3527fb69b,1054,3950,1287,4188,1352,1119,4188,3950,1235.5,4069.0,116.5,119.0,116.5
8,86,b73ebc8f-ce54-425b-9181-4048fa6bbe65,1115,476,2341,1295,2406,1180,1295,476,1793.0,885.5,613.0,409.5,409.5
16,127,a2c3f29c-6e6a-4fc9-893d-beac485be8e6,1489,1629,1807,1999,1872,1554,1999,1629,1713.0,1814.0,159.0,185.0,159.0
20,144,53df3dcd-e2e5-4187-bb2d-86a5f227bc0d,1662,4268,2034,4599,2099,1727,4599,4268,1913.0,4433.5,186.0,165.5,165.5
21,160,2b9572d3-1128-42fc-9928-e9bcd7631b5c,1803,3050,2094,3358,2159,1868,3358,3050,2013.5,3204.0,145.5,154.0,145.5
33,231,24032ad7-727c-4e0b-b31a-3ef217d6ff06,2273,3996,2574,4293,2639,2338,4293,3996,2488.5,4144.5,150.5,148.5,148.5
34,232,1362ef4d-b89f-4a63-a62f-bc205775ea42,2274,681,2653,1001,2718,2339,1001,681,2528.5,841.0,189.5,160.0,160.0
38,251,2bfe22bb-00bd-48b0-ae8f-56c08ba1684a,2396,2212,2691,2536,2756,2461,2536,2212,2608.5,2374.0,147.5,162.0,147.5
40,257,032edda1-e82a-4d74-878f-a2e303cc82b6,2437,1864,3440,2802,3505,2502,2802,1864,3003.5,2333.0,501.5,469.0,469.0
41,265,a9e6cea7-abff-4149-8e15-69080b0bf721,2494,2645,3198,3302,3263,2559,3302,2645,2911.0,2973.5,352.0,328.5,328.5
45,282,473bc300-7505-48ef-a36f-4bcbeaa8dee3,2648,4355,2927,4594,2992,2713,4594,4355,2852.5,4474.5,139.5,119.5,119.5
47,293,66c32b08-9410-4e63-8c57-41f9567bfe9d,2873,3665,3340,4144,3405,2938,4144,3665,3171.5,3904.5,233.5,239.5,233.5
50,322,01cc637a-40cd-42dd-af5d-f3109100c25b,3159,4144,3459,4410,3524,3224,4410,4144,3374.0,4277.0,150.0,133.0,133.0
51,324,ab98d590-1677-42e8-a8af-782682a0ab4c,3168,3090,3613,3366,3678,3233,3366,3090,3455.5,3228.0,222.5,138.0,138.0
57,364,f7d4537f-137b-4946-bee8-40c8ba32d120,3475,2303,3773,2585,3838,3540,2585,2303,3689.0,2444.0,149.0,141.0,141.0
58,369,8f4a44f0-f8d5-4352-b060-d3b051e69e39,3499,3886,3818,4231,3883,3564,4231,3886,3723.5,4058.5,159.5,172.5,159.5
59,385,62d62a83-5794-42ea-888e-5ea34b2007ea,3655,3311,3917,3667,3982,3720,3667,3311,3851.0,3489.0,131.0,178.0,131.0
60,389,c3c57bf4-fda0-4123-b8d1-8efe483573b7,3683,4005,4166,4446,4231,3748,4446,4005,3989.5,4225.5,241.5,220.5,220.5
63,415,49a6674e-03ed-4db8-b06f-29896203f45f,3793,2384,4052,2719,4117,3858,2719,2384,3987.5,2551.5,129.5,167.5,129.5
64,426,497e3d61-564a-4363-8ed0-34eba533423c,3872,3120,4208,3399,4273,3937,3399,3120,4105.0,3259.5,168.0,139.5,139.5
67,436,99ec620f-d0be-40cf-b0d3-e65ef1a43375,3924,2289,4421,2955,4486,3989,2955,2289,4237.5,2622.0,248.5,333.0,248.5
70,452,78e4948c-146d-49cb-9781-12d4e218ff6b,4059,2839,4303,3191,4368,4124,3191,2839,4246.0,3015.0,122.0,176.0,122.0
71,457,c99ac74f-a39c-4e0e-ba93-325bd123b855,4110,1441,5208,2405,5273,4175,2405,1441,4724.0,1923.0,549.0,482.0,482.0
78,477,a6118281-8a8a-4b06-b04b-340a94e427f4,4277,4050,4622,4434,4687,4342,4434,4050,4514.5,4242.0,172.5,192.0,172.5
87,533,13907abb-29d6-4d83-bdf9-03063ec23d1b,4779,1243,5168,1724,5233,4844,1724,1243,5038.5,1483.5,194.5,240.5,194.5
90,568,2be4fea8-0fe7-4d2b-9889-08e708b3b37e,5037,1522,5406,1767,5471,5102,1767,1522,5286.5,1644.5,184.5,122.5,122.5
93,595,343eada3-6f83-4d0d-8ad0-819a7a259183,5166,2921,5851,3608,5916,5231,3608,2921,5573.5,3264.5,342.5,343.5,342.5
94,606,1ea6e690-2996-40f2-a754-703a7bb805fb,5245,3999,5493,4374,5558,5310,4374,3999,5434.0,4186.5,124.0,187.5,124.0
99,621,2120d65a-8612-4567-b5ee-f6960619495c,5662,2321,6019,2860,6084,5727,2860,2321,5905.5,2590.5,178.5,269.5,178.5
100,625,3dfb1904-33de-47d9-96a8-3b3c6867324b,5733,2872,6261,3290,6326,5798,3290,2872,6062.0,3081.0,264.0,209.0,209.0
105,646,8e5ecfcc-757e-407c-9485-62fd5ee200c3,5973,3246,6201,3528,6266,6038,3528,3246,6152.0,3387.0,114.0,141.0,114.0
114,737,e6704d7f-f404-463c-aa22-f9b75554a014,6785,3032,7455,3726,7520,6850,3726,3032,7185.0,3379.0,335.0,347.0,335.0
