,minr,minc,maxr,maxc
0,257,2985,1609,4244
1,329,3678,348,3696
2,359,3545,366,3549
3,366,3550,368,3552
4,497,3702,500,3708
5,514,3655,555,3698
6,527,3830,529,3834
7,531,3824,538,3828
8,542,3699,578,3795
9,543,3660,721,3892
10,567,3805,574,3816
11,574,3459,591,3476
12,575,3491,581,3494
13,582,4249,910,4634
14,583,3500,619,3520
15,593,3888,597,3894
16,595,3761,596,3763
17,605,3474,663,3542
18,609,3668,610,3678
19,636,3914,1138,4306
20,640,3403,650,3426
21,641,3055,650,3077
22,645,3026,649,3040
23,649,3559,652,3565
24,653,2910,687,2995
25,656,3329,782,3471
26,662,2564,817,2878
27,666,3019,679,3037
28,672,4020,684,4029
29,675,2529,1183,3133
30,675,3478,678,3484
31,678,3324,707,3382
32,678,3975,731,4026
33,679,3536,698,3557
34,682,3573,683,3574
35,683,2910,729,3029
36,685,3575,703,3584
37,686,2883,699,2897
38,693,3814,699,3818
39,695,3049,703,3061
40,695,3302,696,3303
41,695,3844,739,3883
42,701,2531,705,2536
43,705,2468,706,2469
44,707,2240,793,2363
45,707,2307,874,2483
46,709,3558,716,3563
47,712,3724,727,3730
48,715,3816,729,3826
49,719,2831,772,2857
50,719,3078,725,3079
51,721,2483,853,2622
52,727,2187,793,2252
53,733,1052,2453,2846
54,742,3811,745,3814
55,751,3954,753,3955
56,754,3821,775,3843
57,767,2175,769,2177
58,767,3982,770,3986
59,772,2070,841,2131
60,774,3788,792,3801
61,779,2919,800,2946
62,786,2166,789,2169
63,786,3866,837,3918
64,788,3193,827,3227
65,792,4304,1227,4692
66,796,3849,798,3850
67,800,2917,801,2918
68,800,3790,825,3811
69,802,2402,803,2407
70,809,2290,811,2294
71,811,2235,962,2513
72,811,2909,835,2930
73,812,2175,826,2185
74,813,2139,823,2147
75,813,2407,824,2414
76,815,3717,852,3755
77,833,2284,855,2289
78,835,2906,841,2908
79,837,2738,846,2749
80,838,2047,950,2133
81,849,4604,854,4610
82,851,3182,857,3193
83,860,1811,872,1829
84,865,3940,893,3960
85,875,1227,902,1255
86,890,2097,892,2109
87,898,3400,906,3414
88,905,3243,913,3244
89,905,3134,1268,3393
90,923,2370,1100,2571
91,925,2833,930,2839
92,930,2263,941,2271
93,931,3233,933,3235
94,932,4039,937,4048
95,936,3081,942,3093
96,937,3371,955,3382
97,939,4307,954,4328
98,942,2836,1292,3128
99,953,2279,986,2300
100,955,2044,997,2096
101,955,3066,957,3070
102,962,2331,969,2335
103,964,3088,968,3091
104,966,2891,1023,2935
