,minr,minc,maxr,maxc
0,270,3207,491,3537
1,326,2943,492,3188
2,407,3414,519,3596
3,434,3210,438,3212
4,473,3652,477,3654
5,479,2670,494,2682
6,484,3643,492,3650
7,494,3630,495,3632
8,503,3199,883,3630
9,506,3535,640,3752
10,509,3005,778,3284
11,510,2523,544,2542
12,533,3602,538,3604
13,540,2421,746,2612
14,560,3868,575,3892
15,561,2207,818,2468
16,570,3538,1200,4124
17,579,3860,582,3866
18,589,3821,591,3823
19,609,2156,627,2202
20,609,2218,617,2227
21,643,3662,644,3669
22,647,2164,651,2170
23,648,1922,939,2174
24,650,3711,659,3724
25,653,2191,657,2199
26,655,2216,661,2221
27,659,2615,670,2636
28,666,3680,671,3683
29,675,3689,679,3702
30,715,3282,717,3290
31,726,3304,728,3311
32,730,2137,1005,2634
33,751,1427,1157,1756
34,763,3543,788,3550
35,771,3586,806,3600
36,781,1740,903,1874
37,785,3615,787,3617
38,812,3448,865,3577
39,879,1450,882,1459
40,882,1876,961,1937
41,885,2843,1169,3081
42,893,268,2181,1249
43,894,3393,1008,3455
44,902,3526,909,3542
45,908,2648,1242,2926
46,919,1668,1041,1830
47,942,1850,1208,2123
48,948,1428,996,1454
49,953,2360,1025,2483
50,959,2098,966,2111
51,987,2487,1160,2685
52,992,1481,1041,1538
53,1006,2160,1025,2191
54,1013,2921,1017,2923
55,1031,3264,1060,3298
56,1033,3330,1066,3353
57,1039,2327,1137,2475
58,1057,1657,1205,1837
59,1057,3399,1122,3524
60,1070,1520,1110,1559
61,1072,3229,1156,3312
62,1075,2977,1078,2981
63,1080,1487,1089,1500
64,1107,1517,1108,1519
65,1115,3527,1430,4172
66,1149,2345,1547,2695
67,1160,3901,1164,3902
68,1162,2993,1166,2995
69,1174,1817,1200,1829
70,1177,2633,1179,2636
71,1183,1976,1200,1993
72,1183,3090,1214,3127
73,1198,3514,1207,3523
74,1202,2077,1604,2371
75,1205,1683,1318,1866
76,1209,3301,1218,3306
77,1213,1664,1214,1666
78,1213,3424,1233,3434
79,1217,3107,1276,3144
80,1225,3014,1889,3655
81,1237,3618,1247,3631
82,1238,3422,1242,3423
83,1239,2973,1293,3078
84,1240,2511,1934,3025
85,1249,2208,1260,2212
86,1253,1867,1254,1870
87,1253,1922,1382,2010
88,1254,3602,1266,3608
89,1262,1881,1265,1885
90,1267,3588,1270,3589
91,1276,3238,1281,3247
92,1281,3146,1282,3147
93,1294,2957,1327,3021
94,1322,3480,1323,3481
95,1381,3819,1665,4222
96,1393,1905,1419,1925
97,1447,1345,1798,1629
98,1474,2028,1873,2285
99,1501,1852,1532,1884
100,1566,2963,1582,2984
101,1570,1339,1571,1348
102,1570,1228,2102,1903
103,1600,3606,2020,4143
104,1631,1313,1677,1335
105,1644,2483,1647,2484
106,1647,1247,1677,1282
107,1661,2474,1698,2495
108,1680,4010,2038,4278
109,1691,4127,1697,4131
110,1701,2495,1706,2496
111,1730,1172,1847,1350
112,1738,3648,1741,3649
113,1742,2306,1777,2330
114,1749,2356,1980,2614
115,1758,3373,1965,3547
116,1773,1350,1783,1360
117,1786,2300,1845,2334
118,1805,1169,1808,1170
119,1812,2716,2243,3152
120,1840,3429,2084,3661
121,1848,2337,1866,2360
122,1859,983,1861,986
123,1920,2370,1950,2405
124,1931,1534,3239,2964
125,1943,3736,1978,3774
126,1950,3994,1951,3999
127,1955,4244,2126,4318
128,1971,3357,1978,3361
129,1979,1242,2026,1274
130,1980,614,2335,1093
131,1980,3747,1981,3749
132,1987,2116,2120,2239
133,1988,3470,2390,3870
134,2005,4183,2007,4184
135,2011,1214,2385,1557
136,2029,3404,2030,3407
137,2052,3967,2211,4138
138,2114,316,2483,844
139,2117,3897,2119,3907
140,2127,2740,2143,2752
141,2149,3137,2150,3138
142,2186,3026,2201,3040
143,2211,4103,2212,4105
144,2233,594,3083,1551
145,2262,3873,2495,4148
146,2266,3489,2270,3491
147,2280,3480,2286,3482
148,2291,4196,2298,4212
149,2293,3483,2307,3485
150,2313,4172,2366,4219
151,2319,3386,2471,3537
152,2326,3574,2337,3590
153,2346,3735,2359,3744
154,2351,4237,2367,4250
155,2358,854,2367,865
156,2386,1441,2396,1459
157,2392,3562,2405,3596
158,2400,3732,2456,3771
159,2401,1519,2411,1526
160,2418,1479,2427,1485
161,2418,1534,2427,1547
162,2421,1574,2431,1596
163,2438,344,2850,757
164,2443,3515,2566,3640
165,2462,4092,2909,4420
166,2466,1467,2469,1470
167,2473,1573,2489,1590
168,2492,3183,2514,3189
169,2498,3939,2802,4152
170,2517,1553,2579,1607
171,2518,3141,2545,3168
172,2538,4195,2554,4203
173,2544,3115,2552,3121
174,2556,3196,2561,3197
175,2566,3187,2631,3219
176,2577,2755,2579,2756
177,2578,2936,2616,2966
178,2581,2753,2582,2754
179,2583,2683,3004,2940
180,2587,2867,2607,2883
181,2618,1628,2621,1630
182,2623,2934,2999,3248
183,2625,1584,2633,1592
184,2641,4187,2643,4191
185,2674,3622,2680,3642
186,2691,3597,2768,3683
187,2728,4367,2733,4372
188,2736,4349,2745,4360
189,2745,3670,2756,3682
190,2757,3268,3181,3751
191,2791,4180,3049,4446
192,2811,1599,2818,1612
193,2816,624,2865,649
194,2831,519,2832,520
195,2845,506,2871,535
196,2853,3963,3140,4185
197,2861,421,2866,429
198,2866,629,2867,634
199,2870,486,2875,487
200,2907,3692,3237,3957
201,2921,4474,2927,4480
202,2967,4391,3008,4429
203,2979,2884,3232,3117
204,2984,449,3071,515
205,2984,4443,3094,4486
206,3010,1714,3027,1725
207,3012,4385,3014,4389
208,3017,2718,3142,2884
209,3018,395,3208,486
210,3037,4329,3039,4336
211,3049,1564,3223,1697
212,3053,1947,3068,1961
213,3075,1436,3105,1472
214,3085,2052,3145,2113
215,3085,3054,3266,3256
216,3090,513,3091,514
217,3091,1365,3116,1425
218,3094,1523,3111,1532
219,3123,1385,3171,1471
220,3125,1376,3147,1382
221,3127,2510,3290,2691
222,3128,1534,3129,1535
223,3129,1539,3137,1542
224,3129,3811,3558,4175
225,3130,673,3132,675
226,3137,3948,3143,3952
227,3144,2859,3161,2882
228,3154,1556,3161,1567
229,3157,2743,3481,2945
230,3167,3590,3229,3761
231,3173,3270,3409,3436
232,3180,1492,3273,1539
233,3182,3498,3184,3499
234,3184,4314,3243,4444
235,3185,415,3606,800
236,3197,1343,3202,1349
237,3201,628,3285,679
238,3208,1347,3225,1353
239,3208,2693,3213,2699
240,3211,1384,3256,1409
241,3215,1422,3682,1803
242,3219,1252,3391,1360
243,3226,1450,3230,1455
244,3236,3616,3320,3791
245,3237,2997,3478,3240
246,3246,2504,3247,2505
247,3249,3834,3254,3836
248,3255,3831,3256,3833
249,3266,565,3278,582
250,3270,3497,3273,3500
251,3275,1531,3276,1532
252,3277,1423,3278,1424
253,3280,1536,3282,1540
254,3283,1431,3353,1474
255,3293,2459,3534,2671
256,3301,3782,3303,3783
257,3305,1539,3319,1563
258,3311,1760,3603,2044
259,3318,1009,3322,1030
260,3333,1079,3359,1107
261,3334,2019,3600,2291
262,3340,1034,3384,1048
263,3343,2937,3552,3102
264,3345,1432,3351,1436
265,3355,3474,3543,3738
266,3356,1190,3461,1307
267,3366,1381,3378,1398
268,3380,1408,3382,1416
269,3380,2743,3394,2760
270,3385,1049,3387,1060
271,3387,699,3761,905
272,3387,1339,3491,1447
273,3391,1071,3398,1087
274,3393,1325,3397,1331
275,3400,1112,3403,1117
276,3402,2427,3411,2432
277,3407,3380,3418,3392
278,3424,1165,3431,1168
279,3444,1325,3449,1336
280,3445,2909,3450,2913
281,3451,2006,3474,2020
282,3464,2272,3640,2421
283,3472,2922,3808,3285
284,3475,3533,3653,3772
