,uuid,minr,minc,maxr,maxc
0,489991c7-307a-4b79-b11d-9dd5149dadf9,256,3207,491,3544
10,6655e44b-395a-4e43-bacf-f10d8750d2af,503,3199,883,3630
12,2a526098-602e-474b-889c-4014aaa18290,509,3005,778,3284
16,f6c06408-c7f1-457e-a183-391994fa8d11,554,3538,1200,4133
19,56fd6503-a6ee-44c6-9085-f9ad7015848b,593,2207,818,2468
31,ef247d5c-14c9-4920-b38d-b67ccb024587,689,1922,939,2174
34,38fe8e80-8797-49ca-99fa-f678062dbe82,730,2137,1005,2635
35,5a3f1778-edd2-4e6d-9aa2-c14648e0f1f3,740,1427,1157,1756
43,60918dc7-21b7-4c89-8c14-97a3d9203be0,884,256,2181,1249
44,9910302c-85ac-48f8-b4f7-f259b39f4060,885,2843,1169,3081
47,eb53b671-4822-46cf-96b8-79ec60a6c213,908,2648,1242,2926
49,780d4e2d-f889-42b2-bdfb-302afab4d9cb,942,1850,1208,2123
67,9d9b7922-bd61-46a4-b0a2-c548f8f8ccb1,1115,3527,1416,4079
68,3d3fbcb3-39f9-47fe-9d5b-2d9a2eac86f1,1149,2345,1547,2695
76,da982fe0-b01e-4b57-886c-2d7f2fcf2fb6,1202,2077,1604,2371
82,f2cbae50-ce35-420a-b76d-b2edc1a55fec,1225,3014,1889,3655
87,d111ca10-fa45-4808-a27c-faf4374111c4,1240,2511,1934,3025
98,ba638c88-52c0-445b-a472-2c0394d44705,1381,3819,1618,4134
100,08d01e1f-cd32-4be5-b1e2-c1de9bf918b4,1441,4010,2126,4327
101,e7024599-a82a-456a-a81a-265184e0205f,1447,1345,1798,1629
102,7d1acab6-ecc3-42e1-9e09-d10bf7908acc,1474,2028,1873,2285
106,922bbf4c-dc63-4d8e-aaf7-bc396d2d844e,1570,1228,2102,1903
107,ae6866d4-3a66-4a5c-955a-0aefce7d0a28,1600,3606,2020,4143
117,12741f9a-3447-473a-9ad3-e9800db53234,1749,2356,1980,2614
122,14d6b7ba-4e0b-4790-ae9b-bd029d904fbc,1812,2716,2243,3152
123,6c4aaafb-b30a-418f-aeea-5a2bdb67d2ff,1840,3429,2084,3661
128,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,1931,1534,3239,2964
133,4a802da7-80c0-47b5-8abc-841bd77547be,1980,614,2335,1093
136,c15b704a-ed08-4a48-914c-94d4588ce3ad,1988,3472,2390,3870
138,b42c43c2-a2dc-4c1f-88ab-1dd2f9c67d13,2011,1214,2385,1557
141,a32288d7-ef50-4eb9-9c4a-36714d93317d,2112,307,2850,844
147,05566bdc-1dbc-4884-acd1-b5135f024e3c,2233,594,3083,1551
148,5f172a40-e11c-49ac-bfab-503d4c3dfd60,2262,3873,2495,4148
168,e0aa58ac-4521-4dee-bd73-e417bd1ee879,2462,4092,2909,4429
182,ac4f5993-606e-4af0-87f3-01d8e5a589ce,2583,2683,3004,2940
185,9d725944-0f26-43ff-b307-3d7a783b674b,2623,2934,2999,3248
193,429927a3-eb2b-4d15-a78a-4b1e228d6a76,2757,3268,3181,3751
194,f9af6706-c53d-46b5-93b5-b18a11189920,2791,4180,3049,4446
203,cfe9606a-c751-486e-a80a-0216d21c7497,2907,3692,3237,3957
206,d92fc2ff-49df-4b2f-9222-6f5af21a1694,2979,2884,3232,3117
226,5acb0111-d543-4842-9699-692f0f0e8020,3129,3811,3558,4175
239,a85e466a-f51d-40d3-8cbc-d0b8ea0d01ed,3198,473,3606,800
244,89cb0dc2-6ced-43c2-858b-eb83427a9cbd,3215,1422,3682,1803
248,683ec2ef-945f-4fca-a346-1e64556e616e,3237,2997,3478,3240
261,574b3b3b-46f7-4c64-bcc5-f91bdb4adef7,3311,1760,3603,2044
264,65cfcdc3-dfdb-4917-9baa-0e056861cb2d,3334,2019,3600,2291
286,fb4f9711-858a-4624-bffd-a165db7d7319,3472,2922,3808,3285
295,05fd5d73-88fc-4407-8fe7-c24b47e1bd4f,3516,3593,3997,3971
305,1ba5e1c8-88eb-43cd-aaab-246429accdf9,3569,432,4210,936
309,83f09403-b506-4b7b-b84d-2ab45ab18218,3597,1491,3832,1832
312,db4aefc3-8cb6-4d80-9480-8261cc3717fe,3626,2065,4029,2420
316,30a62970-a405-482f-a077-de37057f9e5d,3677,3885,4088,4170
323,9a57d87c-27b1-4c96-b5c4-3f73e2b6c398,3727,3217,4048,3507
325,110a6568-b747-4e0c-9b01-66597a7073c3,3747,2308,4080,2584
330,4ddad6c6-8aa2-4c88-9e9c-b6235ddc8597,3801,2551,4735,3117
333,a594622e-7b24-4575-b3ab-75401af45177,3847,2872,4193,3228
346,beda66f5-415e-4176-af0d-195fa545c565,3955,3819,4225,4057
350,dc013877-df8e-4fd0-89c3-d011530d75be,4028,3277,4387,3629
352,6c615df1-b8c1-46ab-858d-0ce6c25ca22b,4037,2140,4588,2555
354,50f1d106-e14b-4800-8b0e-3f5f9c8b3426,4040,1086,4792,2186
357,0f9aa6bc-4eae-40f7-8ebc-43360db63ea9,4062,3611,4607,4124
359,055b546f-0b51-4d8b-bbc2-b044c5ea91ee,4101,4105,4360,4448
366,4b385e2d-d573-40be-8530-9ef01538eeba,4198,623,4478,949
372,a486deb6-5c46-4f78-83fc-50e43e429bba,4273,3182,4736,3576
385,b8f830ce-df41-4bd0-b793-7742eaefb6f7,4413,956,5317,1842
387,56579600-1e7d-4ad4-a433-43b175c3f7d6,4420,3935,4678,4187
389,9c2074f6-ded2-4bfb-aad3-471b5c4c62e3,4444,3942,5488,4465
402,06718b15-c806-49a3-9002-f50aec1f0048,4675,3553,5293,3972
404,65c164ba-7387-40fc-aded-b4a5eed23063,4711,940,5057,1211
406,6ae70944-9e51-464d-9343-cee2816de3dc,4740,1460,7021,2876
417,5b2ceb74-1b79-4907-b82f-0f603fee7c89,4898,2455,6182,3646
428,ce6c4133-cb68-41b4-ae38-9e5c66582406,5092,1238,5350,1473
432,484472db-958c-4ce7-b705-a91fefcb6de5,5243,3664,5794,4180
453,8f3b5259-608c-4ed4-b69d-bb570b6fba3c,5765,2407,6193,2708
458,57fb7f16-ea08-429c-a93b-239ececb6291,5877,3890,6341,4220
460,f60dfcea-02a2-437c-9cf2-59d3f34d9abb,5939,2883,6184,3166
466,d741735d-5d58-45d8-89b4-1eb93832794e,6010,3027,6381,3397
477,8b77582d-ff0e-4fc9-9a55-7c8d1f7aa8e2,6160,3551,6473,3953
484,6900277e-8a36-4f66-a321-557d421afe52,6270,2633,6792,3107
490,b4cc7e0a-a461-4ba8-a1b6-4f8ba34f66f9,6369,3228,6910,4009
498,38643538-49a8-4f4a-879d-de52028c845c,6775,2861,7364,3801
