,uuid,minr,minc,maxr,maxc
16,f6c06408-c7f1-457e-a183-391994fa8d11,554,3538,1200,4133
43,60918dc7-21b7-4c89-8c14-97a3d9203be0,884,256,2181,1249
47,eb53b671-4822-46cf-96b8-79ec60a6c213,908,2648,1242,2926
67,9d9b7922-bd61-46a4-b0a2-c548f8f8ccb1,1115,3527,1416,4079
68,3d3fbcb3-39f9-47fe-9d5b-2d9a2eac86f1,1149,2345,1547,2695
82,f2cbae50-ce35-420a-b76d-b2edc1a55fec,1225,3014,1889,3655
100,08d01e1f-cd32-4be5-b1e2-c1de9bf918b4,1441,4010,2126,4327
106,922bbf4c-dc63-4d8e-aaf7-bc396d2d844e,1570,1228,2102,1903
122,14d6b7ba-4e0b-4790-ae9b-bd029d904fbc,1812,2716,2243,3152
128,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,1931,1534,3239,2964
136,c15b704a-ed08-4a48-914c-94d4588ce3ad,1988,3472,2390,3870
138,b42c43c2-a2dc-4c1f-88ab-1dd2f9c67d13,2011,1214,2385,1557
141,a32288d7-ef50-4eb9-9c4a-36714d93317d,2112,307,2850,844
147,05566bdc-1dbc-4884-acd1-b5135f024e3c,2233,594,3083,1551
182,ac4f5993-606e-4af0-87f3-01d8e5a589ce,2583,2683,3004,2940
194,f9af6706-c53d-46b5-93b5-b18a11189920,2791,4180,3049,4446
226,5acb0111-d543-4842-9699-692f0f0e8020,3129,3811,3558,4175
244,89cb0dc2-6ced-43c2-858b-eb83427a9cbd,3215,1422,3682,1803
295,05fd5d73-88fc-4407-8fe7-c24b47e1bd4f,3516,3593,3997,3971
312,db4aefc3-8cb6-4d80-9480-8261cc3717fe,3626,2065,4029,2420
316,30a62970-a405-482f-a077-de37057f9e5d,3677,3885,4088,4170
323,9a57d87c-27b1-4c96-b5c4-3f73e2b6c398,3727,3217,4048,3507
325,110a6568-b747-4e0c-9b01-66597a7073c3,3747,2308,4080,2584
330,4ddad6c6-8aa2-4c88-9e9c-b6235ddc8597,3801,2551,4735,3117
333,a594622e-7b24-4575-b3ab-75401af45177,3847,2872,4193,3228
350,dc013877-df8e-4fd0-89c3-d011530d75be,4028,3277,4387,3629
352,6c615df1-b8c1-46ab-858d-0ce6c25ca22b,4037,2140,4588,2555
354,50f1d106-e14b-4800-8b0e-3f5f9c8b3426,4040,1086,4792,2186
385,b8f830ce-df41-4bd0-b793-7742eaefb6f7,4413,956,5317,1842
387,56579600-1e7d-4ad4-a433-43b175c3f7d6,4420,3935,4678,4187
389,9c2074f6-ded2-4bfb-aad3-471b5c4c62e3,4444,3942,5488,4465
406,6ae70944-9e51-464d-9343-cee2816de3dc,4740,1460,7021,2876
417,5b2ceb74-1b79-4907-b82f-0f603fee7c89,4898,2455,6182,3646
432,484472db-958c-4ce7-b705-a91fefcb6de5,5243,3664,5794,4180
466,d741735d-5d58-45d8-89b4-1eb93832794e,6010,3027,6381,3397
484,6900277e-8a36-4f66-a321-557d421afe52,6270,2633,6792,3107
490,b4cc7e0a-a461-4ba8-a1b6-4f8ba34f66f9,6369,3228,6910,4009
498,38643538-49a8-4f4a-879d-de52028c845c,6775,2861,7364,3801
